,Brand,Original_price,Discount_price,Camera,Pixels,WiFi Connectivity,Discount,Ratings
0,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
1,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
2,GoPro,"54,500","₹22,984",,23,No,57,4.2
3,Insta360,"51,999","₹34,990",Action CameraAction Camera,72,No,32,4.4
4,Canon,"35,99","₹34,990",DSLR Camera,18,Yes,52,4.4
5,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
6,Canon,"47,995","₹41,990",DSLR Camera,24,Yes,12,4.5
7,FUJIFILM,"8,499","₹6,499",,,No,23,4.4
8,NIKON,"1,02,995","₹87,490",Mirrorless Camera,20,Yes,15,4.5
9,NIKON,"94,950","₹78,990",DSLR Camera,20,Yes,16,4.5
10,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
11,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
12,Canon,"68,995","₹57,990",DSLR Camera,24,Yes,15,4.5
13,dji,"54,990","₹34,990",,12,No,36,4.6
14,GoPro,"45,000","₹29,989",,27,No,33,4.3
15,dji,"54,990","₹15,990",,12,No,70,4.2
16,Insta360,"59,990","₹48,490",,72,No,19,4.5
17,SONY,"1,24,990","₹84,990",Mirrorless Camera,24,Yes,32,4.6
18,SJCAM,"7,800","₹3,998",Action Camera,16,Yes,48,3.7
19,FUJIFILM,"7,999","₹5,998",,,No,25,4.2
20,dji,"44,990","₹26,990",,12,No,40,4.4
21,Insta360,"49,990","₹34,990",,48,No,30,4.4
22,FUJIFILM,"7,999","₹5,998",,,No,25,4.2
23,SONY,"69,990","₹61,490",Mirrorless Camera,24,Yes,12,4.5
24,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
25,SONY,"90,990","₹73,998",Mirrorless Camera,24,Yes,18,4.6
26,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
27,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
28,SJCAM,"17,200","₹9,494",,16,No,44,4.1
29,Canon,"75,995","₹65,798",Mirrorless Camera,24,No,13,4.6
30,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
31,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
32,SONY,"90,990","₹73,998",Mirrorless Camera,24,Yes,18,4.6
33,dji,"49,99","₹45,990",,40,No,08,4.6
34,RECTITUDE,"6,499","₹2,499",HD Camera,,No,61,3.5
35,FUJIFILM,"8,499","₹6,498",,,No,23,4.4
36,DIGITEK,"10,995","₹5,999",,24,Yes,45,3.6
37,FUJIFILM,"9,499","₹6,499",,,No,31,4.3
38,SJCAM,"9,800","₹5,599",,12,No,42,3.9
39,SONY,"50,690","₹38,487",Vlog Camera,20,No,24,4
40,SONY,"1,16,490","₹88,488",Mirrorless Camera,24,Yes,24,4.7
41,GoPro,"51,500","₹33,490",,23,No,34,4.3
42,FUJIFILM,"10,999","₹6,999",,,No,36,4.2
43,Canon,"1,42,995","₹1,04,390",Mirrorless Camera,24,Yes,26,4.3
44,SONY,"89,990","₹73,490",Mirrorless Camera,24,Yes,18,4.6
45,Panasonic,"74,660","₹47,990",Mirrorless Camera,16,Yes,35,4.3
46,FUJIFILM,"10,999","₹6,999",,,No,36,4.2
47,FUJIFILM,"5,53","₹5,299",,,No,04,4.3
48,SONY,"1,16,490","₹88,489",Mirrorless Camera,24,Yes,24,4.7
49,NIKON,"73,495","₹59,990",Mirrorless Camera,20,Yes,18,4.3
50,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
51,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
52,SONY,"59,490","₹52,488",Mirrorless Camera,24,Yes,11,4.5
53,SONY,"1,36,990","₹1,21,489",Mirrorless Camera,27,Yes,11,
54,FUJIFILM,"9,499","₹6,499",,,No,31,4.3
55,Canon,"2,43,995","₹1,87,890",Mirrorless Camera,24,Yes,22,4.5
56,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
57,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
58,FUJIFILM,"22,990","₹18,999",,,No,17,4.6
59,MUGO,"16,999","₹2,449",,,No,85,3.1
60,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
61,Bzrqx,"2,999",₹687,,12,Yes,77,3.6
62,GoPro,"49,990","₹42,990",,27,No,14,3.9
63,DIGITEK,"14,995","₹7,999",,48,Yes,46,3.5
64,SONY,"1,61,490","₹1,38,989",Mirrorless Camera,24,Yes,13,4.6
65,FUJIFILM,"9,499","₹6,499",,,No,31,4.3
66,dji,"74,99","₹69,990",,64,No,06,4.2
67,NIKON,"82,995","₹72,599",Mirrorless Camera,20,Yes,12,4.5
68,Insta360,"65,990","₹46,990",,72,No,28,4.4
69,SONY,"64,990","₹51,989",Mirrorless Camera,24,Yes,20,4.6
70,FUJIFILM,"11,499","₹7,499",,,No,34,4.4
71,DRONE,"9,999","₹2,299",Dual Camera,,No,77,3.2
72,SONY,"2,47,990","₹1,94,487",Mirrorless Camera,33,Yes,21,4.5
73,SONY,"1,42,990","₹1,25,989",Mirrorless Camera,24,Yes,11,4.6
74,Inext,"3,899",₹640,Magnet CameraHidden CameraSpy Camera,12,Yes,83,3.3
75,Bzrqx,"2,999",₹672,,12,Yes,77,3.3
76,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
77,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
78,dji,"34,990","₹24,990",,64,No,28,4.3
79,Elevea,"9,500","₹1,619",Action Camera,16,Yes,82,4
80,AD,"4,999","₹1,899",Baby CameraAction Camera,12,No,62,
81,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
82,Drone,"9,999","₹2,999",,,No,70,
83,Fourbrother,"19,999","₹2,099",,,No,89,3.2
84,FUJIFILM,"9,499","₹6,499",,,No,31,4.3
85,dji,"34,999","₹22,990",,12,No,34,4.4
86,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
87,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
88,MAYURI,"13,999","₹2,240",Dual Camera,,Yes,83,2.9
89,Drone,"9,999","₹2,999",HD Camera,,Yes,70,
90,IZI,"16,999","₹8,799",,48,Yes,48,3.6
91,Insta360,"64,990","₹45,990",,72,No,29,4.2
92,Qolic,"9,999","₹3,333",HD Camera,,Yes,66,
93,SONY,"59,490","₹52,489",Mirrorless Camera,24,Yes,11,4.5
94,dji,"59,990","₹49,990",,64,No,16,4.7
95,SONY,"1,47,490","₹1,30,989",Mirrorless Camera,27,Yes,11,5
96,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
97,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
98,EDENGLOW,"19,999","₹3,999",,,No,80,
99,Lapvious,"9,999","₹3,299",,,No,67,3.2
100,AD,"4,999","₹1,899",Baby CameraAction Camera,12,No,62,
101,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
102,DRONE,"9,999","₹2,499",,,No,75,
103,SIOVS,"2,999",₹699,Video Camera,12,Yes,76,3.3
104,Toyrist,"5,999","₹2,549",,,No,57,3.1
105,SONY,"1,99,99","₹1,87,990",Mirrorless CameraCompact Camera,20,Yes,06,5
106,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
107,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
108,DRONE,"9,999","₹2,499",4k Camera,,No,75,
109,Lipzie,"3,999",₹999,Digital CameraPortable Camera,5,No,75,4.2
110,Digiwins,"9,999","₹6,599",HD Camera,,Yes,34,3.2
111,D,"1,599",₹899,Digital CameraDigital Camera,1080,No,43,3.9
112,Canon,"39,995","₹27,990",,15,No,30,4
113,hph,"19,999","₹3,999",,,No,80,
114,NIKON,"2,04,995","₹1,74,990",Mirrorless Camera,24,Yes,14,4.1
115,Antman,"19,998","₹2,049",Dual Camera,,No,89,2.9
116,zoyo,"19,999","₹4,999",Drone Camera,,No,75,
117,SONY,"1,36,900","₹1,21,490",Mirrorless Camera,27,Yes,11,4.9
118,Wincomm,"3,999","₹1,649",,20,Yes,58,
119,NIKON,"1,76,995","₹1,49,990",Mirrorless Camera,25,Yes,15,5
120,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
121,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
122,samar,"12,999","₹1,899",WiFi Camera,,Yes,85,3.5
123,PTCMart,"7,999","₹2,899",With Camera,,No,63,
124,Toyrist,"5,999","₹1,999",,,No,66,3.7
125,Elevea,"7,000","₹1,699",,16,No,75,4.6
126,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
127,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
128,TechKing,"10,000","₹1,619",Action Camera,16,No,83,3.5
129,Drone,"9,999","₹2,999",Dual Camera,,No,70,
130,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
131,SONY,"2,42,490","₹1,94,487",Mirrorless Camera,33,Yes,19,4.5
132,Swa,"8,999","₹3,199",Drone Camera,,No,64,
133,SONY,"80,490","₹65,487",Mirrorless Camera,24,Yes,18,4.5
134,samar,"9,999","₹2,199",Drone Camera,,No,78,2
135,RECTITUDE,"4,765","₹2,499",,,No,47,3.4
136,AVOIHS,"2,000",₹899,Kids CameraColorfull Camera,8,No,55,3.7
137,Swa,"8,999","₹3,249",,,No,63,2.3
138,PICSTAR,"11,999","₹6,999",Three Camera,,No,41,3.3
139,SONY,"75,990","₹61,487",Mirrorless Camera,24,Yes,19,4.5
140,SJCAM,"17,200","₹9,999",Action Camera,16,No,41,4.1
141,Insta360,"54,990","₹45,990",,72,No,16,5
142,FUJIFILM,"9,499","₹6,499",,,No,31,4.3
143,CASON,"12,995","₹7,295",Action CameraSports Camera,24,No,43,3.8
144,Wincomm,"3,999","₹1,599",Action Camera,12,No,60,
145,Adofys,"7,999","₹3,589",Print CameraVideo CameraInstant Camera,,No,55,4.8
146,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
147,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
148,Insta360,"44,999","₹32,989",,9,No,26,4.2
149,DRONE,"9,999","₹2,499",WiFi Camera,,Yes,75,
150,AD,"4,999","₹1,899",Baby CameraAction Camera,12,No,62,
151,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
152,DRONE,"9,999","₹2,499",With Camera,,No,75,
153,SONY,"3,53,990","₹2,90,987",Mirrorless Camera,61,Yes,17,
154,RECTITUDE,"6,999","₹2,348",Dual Camera,,No,66,2.8
155,Clubics,"9,999","₹2,999",WiFi Camera,,Yes,70,
156,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
157,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
158,SONY,"80,490","₹65,488",Mirrorless Camera,24,Yes,18,4.5
159,DRONE,"9,999","₹2,499",Pro Camera,,No,75,
160,DRONE,"9,999","₹2,499",,,No,75,
161,Garundropsy,"6,199","₹1,687",Action CameraAction Camera,16,No,72,2.5
162,Bzrqx,"2,899",₹686,Spy CameraWiFi Camera,12,Yes,76,3.7
163,FUJIFILM,"1,84,999","₹1,39,990",Mirrorless Camera,26,Yes,24,4.4
164,Drone,"9,999","₹2,999",Dual Camera,,No,70,
165,DRONE,"9,999","₹2,499",Dual Camera,,No,75,
166,FUJIFILM,"22,999","₹18,999",,,No,17,4.6
167,Campro,"4,000","₹1,274",Action CameraBiker CameraAction Camera,3,No,68,2.7
168,SONY,"1,42,990","₹1,25,989",Mirrorless Camera,24,Yes,11,4.6
169,SJCAM,"7,800","₹4,999",Action Camera,15,No,35,3.6
170,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
171,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
172,VOLTAC,"3,999","₹1,399",,12,No,65,
173,Drone,"9,999","₹2,199",Dual Camera,,Yes,78,3.1
174,Zyamalox,"5,999","₹4,999",MP Camera,,No,16,4
175,Insta360,"70,990","₹54,490",,72,No,23,
176,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
177,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
178,Cubonic,"4,999","₹1,959",Action Camera,16,Yes,60,3.4
179,DRONE,"9,999","₹4,999",Dual Camera,,No,50,3.1
180,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
181,SONY,"1,46,990","₹1,27,489",Mirrorless Camera,24,Yes,13,4.4
182,MUGO,"16,999","₹2,249",with Camera,,No,86,3.4
183,Swa,"9,495","₹3,399",,,No,64,
184,RECTITUDE,"6,999","₹2,348",WiFi Camera,,Yes,66,2.4
185,Rivalwilla,"9,999","₹3,199",WiFi Camera,,Yes,68,3
186,Canon,"3,43,995","₹2,74,790",Mirrorless Camera,24,Yes,20,4.5
187,AD,"4,999","₹1,899",Baby CameraAction Camera,12,No,62,
188,Inferno,"12,999","₹1,999",,,No,84,3
189,Exxelo,"2,999",₹999,,5,No,66,3.1
190,FUJIFILM,"9,499","₹8,499",,,No,10,4.2
191,DRONE,"9,999","₹2,499",,,No,75,
192,SONY,"2,62,490","₹2,06,987",Mirrorless Camera,33,Yes,21,4
193,DRONE,"9,999","₹2,499",WiFi Camera,,Yes,75,
194,PICSTAR,"17,999","₹9,999",,,No,44,
195,RECTITUDE,"6,499","₹2,399",Dual Camera,,No,63,2.7
196,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
197,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
198,SIOVS,"2,899",₹799,,12,No,72,3.4
199,Cubonic,"12,999","₹3,999",WiFi CameraAction Camera,16,Yes,69,
200,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
201,Canon,"97,995","₹87,990",Mirrorless Camera,24,No,10,4.6
202,Swa,"8,999","₹3,599",,,No,60,4.3
203,Matira,"2,99","₹2,799",Dual Camera,,No,96,
204,Swa,"8,999","₹3,199",HD Camera,,Yes,64,3
205,Swa,"9,999","₹3,269",,,No,67,3.3
206,AD,"4,999","₹1,899",Baby CameraAction Camera,12,No,62,
207,Canon,"94,995","₹70,008",Mirrorless Camera,26,Yes,26,4.4
208,Drone,"9,999","₹2,999",,,No,70,
209,Canon,"2,71,995","₹2,17,390",Mirrorless Camera,24,Yes,20,4.5
210,SONY,"3,99,990","₹3,39,987",Mirrorless Camera,12,Yes,15,
211,Insta360,"44,999","₹32,989",,9,No,26,4.2
212,TR,"9,999","₹4,999",WiFi Camera,,Yes,50,
213,PICSTAR,"11,999","₹6,999",HD Camera,,No,41,
214,Bzrqx,"3,499","₹1,799",Spy CameraHidden CameraPen Camera,12,No,48,
215,Enfogo,"7,000","₹1,665",,16,No,76,3.3
216,Canon,"1,19,995","₹95,190",Mirrorless Camera,24,Yes,20,4.6
217,Canon,"64,995","₹45,990",Mirrorless Camera,24,Yes,29,4.4
218,SONY,"3,53,990","₹2,90,987",Mirrorless Camera,61,Yes,17,
219,Wintwilla,"8,999","₹4,999",,,No,44,3.4
220,Canon,"92,995","₹79,990",Mirrorless Camera,24,Yes,13,4.6
